customerID,churn_probability,risk_level,top_reason_1,top_reason_2,top_reason_3,recommended_action,score_date,model_used
3714-NTNFO,0.7313,HIGH,fiber_optic_flag,contract_risk_score,tenure,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
5948-UJZLF,0.5856,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
7760-OYPDY,0.9271,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
7639-LIAYI,0.0866,LOW,contract_risk_score,fiber_optic_flag,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
2954-PIBKO,0.0304,LOW,tenure,contract_risk_score,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
8012-SOUDQ,0.7303,HIGH,fiber_optic_flag,contract_risk_score,MonthlyCharges,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
9420-LOJKX,0.6864,MEDIUM,fiber_optic_flag,MonthlyCharges,tenure,Escalate to tech-support for fibre quality review | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
6575-SUVOI,0.3949,LOW,fiber_optic_flag,contract_risk_score,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
7495-OOKFY,0.7619,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
4667-QONEA,0.0819,LOW,tenure,fiber_optic_flag,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
1658-BYGOY,0.8859,HIGH,fiber_optic_flag,contract_risk_score,MonthlyCharges,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
8769-KKTPH,0.3474,LOW,tenure,fiber_optic_flag,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
5067-XJQFU,0.4653,MEDIUM,tenure,MonthlyCharges,service_count,Send targeted email campaign with service bundle offer,2026-05-26,Logistic Regression
3957-SQXML,0.035,LOW,contract_risk_score,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
5954-BDFSG,0.1755,LOW,tenure,contract_risk_score,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
0434-CSFON,0.7774,HIGH,fiber_optic_flag,MonthlyCharges,avg_monthly_spend,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
1215-FIGMP,0.5605,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
0526-SXDJP,0.0322,LOW,tenure,contract_risk_score,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
0557-ASKVU,0.1759,LOW,fiber_optic_flag,tenure,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
5698-BQJOH,0.8473,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
5122-CYFXA,0.7761,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
8627-ZYGSZ,0.4336,MEDIUM,fiber_optic_flag,tenure,contract_risk_score,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
3410-YOQBQ,0.0755,LOW,contract_risk_score,fiber_optic_flag,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
3170-NMYVV,0.0208,LOW,contract_risk_score,MonthlyCharges,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
7410-OIEDU,0.5798,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
2273-QCKXA,0.6175,MEDIUM,tenure,fiber_optic_flag,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
0731-EBJQB,0.0907,LOW,MonthlyCharges,fiber_optic_flag,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
1891-QRQSA,0.1517,LOW,contract_risk_score,tenure,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
8028-PNXHQ,0.0306,LOW,contract_risk_score,tenure,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
5630-AHZIL,0.5438,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
2673-CXQEU,0.4291,MEDIUM,MonthlyCharges,service_count,tenure,Send targeted email campaign with service bundle offer,2026-05-26,Logistic Regression
6416-JNVRK,0.1335,LOW,fiber_optic_flag,tenure,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
5590-ZSKRV,0.2611,LOW,tenure,fiber_optic_flag,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
0191-ZHSKZ,0.5252,MEDIUM,fiber_optic_flag,contract_risk_score,service_count,Offer 12-month contract upgrade with loyalty discount,2026-05-26,Logistic Regression
3887-PBQAO,0.0841,LOW,MonthlyCharges,fiber_optic_flag,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
5919-TMRGD,0.9375,HIGH,tenure,charge_to_tenure_ratio,fiber_optic_flag,Escalate to tech-support for fibre quality review | Offer payment flexibility plan or billing credit,2026-05-26,Logistic Regression
8108-UXRQN,0.5865,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
9191-MYQKX,0.7236,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
9919-YLNNG,0.5444,MEDIUM,MonthlyCharges,fiber_optic_flag,avg_monthly_spend,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
0318-ZOPWS,0.0343,LOW,contract_risk_score,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
4445-ZJNMU,0.8382,HIGH,tenure,fiber_optic_flag,MonthlyCharges,Escalate to tech-support for fibre quality review | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
4808-YNLEU,0.1592,LOW,fiber_optic_flag,contract_risk_score,no_tech_support,No action required – monitor monthly.,2026-05-26,Logistic Regression
1862-QRWPE,0.0178,LOW,contract_risk_score,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
2796-NNUFI,0.0251,LOW,contract_risk_score,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
3016-KSVCP,0.5008,MEDIUM,fiber_optic_flag,MonthlyCharges,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer payment flexibility plan or billing credit,2026-05-26,Logistic Regression
4767-HZZHQ,0.383,LOW,fiber_optic_flag,contract_risk_score,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
2424-WVHPL,0.8903,HIGH,tenure,charge_to_tenure_ratio,fiber_optic_flag,Escalate to tech-support for fibre quality review | Offer payment flexibility plan or billing credit,2026-05-26,Logistic Regression
7233-PAHHL,0.0597,LOW,contract_risk_score,tenure,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
6067-NGCEU,0.5383,MEDIUM,tenure,MonthlyCharges,service_count,Send targeted email campaign with service bundle offer,2026-05-26,Logistic Regression
9848-JQJTX,0.2237,LOW,tenure,contract_risk_score,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
8637-XJIVR,0.7446,HIGH,fiber_optic_flag,tenure,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
9803-FTJCG,0.0589,LOW,tenure,fiber_optic_flag,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
0278-YXOOG,0.3403,LOW,tenure,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
3212-KXOCR,0.023,LOW,contract_risk_score,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
4598-XLKNJ,0.7949,HIGH,fiber_optic_flag,MonthlyCharges,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
6380-ARCEH,0.42,MEDIUM,tenure,MonthlyCharges,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
3679-XASPY,0.438,MEDIUM,tenure,MonthlyCharges,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
7123-WQUHX,0.3422,LOW,fiber_optic_flag,MonthlyCharges,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
5386-THSLQ,0.1654,LOW,tenure,fiber_optic_flag,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
3192-NQECA,0.1914,LOW,tenure,contract_risk_score,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
6180-YBIQI,0.6699,MEDIUM,tenure,MonthlyCharges,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
6728-DKUCO,0.3819,LOW,tenure,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
9750-BOOHV,0.1687,LOW,fiber_optic_flag,MonthlyCharges,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
8597-CWYHH,0.4637,MEDIUM,fiber_optic_flag,MonthlyCharges,avg_monthly_spend,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
2848-YXSMW,0.0131,LOW,tenure,contract_risk_score,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
0486-HECZI,0.6153,MEDIUM,tenure,fiber_optic_flag,MonthlyCharges,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
4549-ZDQYY,0.0661,LOW,fiber_optic_flag,tenure,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
5712-AHQNN,0.6064,MEDIUM,fiber_optic_flag,contract_risk_score,MonthlyCharges,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
4846-WHAFZ,0.6943,MEDIUM,fiber_optic_flag,contract_risk_score,service_count,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
5256-SKJGO,0.1143,LOW,contract_risk_score,tenure,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
3071-VBYPO,0.7946,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
9560-BBZXK,0.066,LOW,contract_risk_score,fiber_optic_flag,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
5299-RULOA,0.8249,HIGH,tenure,fiber_optic_flag,MonthlyCharges,Escalate to tech-support for fibre quality review | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
8402-OOOHJ,0.0245,LOW,contract_risk_score,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
9445-ZUEQE,0.5144,MEDIUM,fiber_optic_flag,contract_risk_score,MonthlyCharges,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
1091-SOZGA,0.4685,MEDIUM,tenure,fiber_optic_flag,MonthlyCharges,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
2928-HLDBA,0.3335,LOW,tenure,MonthlyCharges,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
0404-SWRVG,0.909,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
6497-TILVL,0.3031,LOW,tenure,fiber_optic_flag,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
7219-TLZHO,0.3251,LOW,tenure,MonthlyCharges,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
4622-YNKIJ,0.1779,LOW,contract_risk_score,fiber_optic_flag,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
4412-YLTKF,0.7654,HIGH,fiber_optic_flag,contract_risk_score,avg_monthly_spend,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
6734-PSBAW,0.0303,LOW,tenure,contract_risk_score,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
3930-ZGWVE,0.4212,MEDIUM,tenure,MonthlyCharges,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
2639-UGMAZ,0.2692,LOW,tenure,fiber_optic_flag,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
2876-GZYZC,0.8252,HIGH,fiber_optic_flag,tenure,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
6207-WIOLX,0.4752,MEDIUM,fiber_optic_flag,contract_risk_score,service_count,Offer 12-month contract upgrade with loyalty discount,2026-05-26,Logistic Regression
8587-XYZSF,0.0263,LOW,contract_risk_score,tenure,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
3091-FYHKI,0.8943,HIGH,tenure,avg_monthly_spend,fiber_optic_flag,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
2372-HWUHI,0.692,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
7799-LGRDP,0.0422,LOW,contract_risk_score,MonthlyCharges,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
7850-VWJUU,0.4888,MEDIUM,fiber_optic_flag,contract_risk_score,tenure,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
3774-VBNXY,0.0149,LOW,contract_risk_score,tenure,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
6217-KDYWC,0.0223,LOW,contract_risk_score,MonthlyCharges,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
0390-DCFDQ,0.9129,HIGH,tenure,charge_to_tenure_ratio,fiber_optic_flag,Escalate to tech-support for fibre quality review | Offer payment flexibility plan or billing credit,2026-05-26,Logistic Regression
3146-MSEGF,0.0523,LOW,tenure,contract_risk_score,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
4080-OGPJL,0.4802,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
1095-WGNGG,0.2499,LOW,contract_risk_score,tenure,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
2636-SJDOU,0.2224,LOW,tenure,fiber_optic_flag,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
1131-QQZEB,0.0255,LOW,tenure,contract_risk_score,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
5716-EZXZN,0.0916,LOW,contract_risk_score,tenure,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
6837-BJYDQ,0.2143,LOW,tenure,MonthlyCharges,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
2135-RXIHG,0.8113,HIGH,tenure,fiber_optic_flag,avg_monthly_spend,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
6440-DKQGE,0.1447,LOW,fiber_optic_flag,contract_risk_score,no_tech_support,No action required – monitor monthly.,2026-05-26,Logistic Regression
3466-BYAVD,0.3762,LOW,fiber_optic_flag,tenure,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
3780-YVMFA,0.6316,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
3874-EQOEP,0.8347,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
1679-JRFBR,0.2994,LOW,tenure,MonthlyCharges,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
9073-ZZIAY,0.0397,LOW,contract_risk_score,tenure,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
3077-RSNTJ,0.3036,LOW,tenure,MonthlyCharges,avg_monthly_spend,No action required – monitor monthly.,2026-05-26,Logistic Regression
6551-GNYDG,0.6658,MEDIUM,fiber_optic_flag,tenure,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
9167-APMXZ,0.7323,HIGH,fiber_optic_flag,contract_risk_score,tenure,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
2749-CTKAJ,0.0877,LOW,MonthlyCharges,avg_monthly_spend,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
6371-NZYEG,0.0793,LOW,contract_risk_score,fiber_optic_flag,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
7554-NEWDD,0.0769,LOW,contract_risk_score,MonthlyCharges,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
8992-VONJD,0.3544,LOW,fiber_optic_flag,tenure,contract_risk_score,No action required – monitor monthly.,2026-05-26,Logistic Regression
0867-MKZVY,0.599,MEDIUM,fiber_optic_flag,contract_risk_score,tenure,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
4482-EWFMI,0.9036,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
4648-YPBTM,0.081,LOW,contract_risk_score,fiber_optic_flag,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
2907-ILJBN,0.107,LOW,MonthlyCharges,tenure,fiber_optic_flag,No action required – monitor monthly.,2026-05-26,Logistic Regression
6345-FZOQH,0.0171,LOW,tenure,contract_risk_score,MonthlyCharges,No action required – monitor monthly.,2026-05-26,Logistic Regression
3376-BMGFE,0.8149,HIGH,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount | Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
5997-OPVFA,0.0608,LOW,tenure,contract_risk_score,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
3445-HXXGF,0.5217,MEDIUM,tenure,fiber_optic_flag,contract_risk_score,Offer 12-month contract upgrade with loyalty discount,2026-05-26,Logistic Regression
1159-WFSGR,0.2287,LOW,MonthlyCharges,fiber_optic_flag,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
7654-YWJUF,0.2,LOW,fiber_optic_flag,MonthlyCharges,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
1875-QIVME,0.9557,HIGH,tenure,charge_to_tenure_ratio,MonthlyCharges,Offer payment flexibility plan or billing credit | Offer onboarding loyalty bonus or service upgrade,2026-05-26,Logistic Regression
6727-IOTLZ,0.1185,LOW,contract_risk_score,fiber_optic_flag,tenure,No action required – monitor monthly.,2026-05-26,Logistic Regression
0691-JVSYA,0.4487,MEDIUM,fiber_optic_flag,tenure,MonthlyCharges,Escalate to tech-support for fibre quality review,2026-05-26,Logistic Regression
5918-VUKWP,0.0732,LOW,MonthlyCharges,fiber_optic_flag,service_count,No action required – monitor monthly.,2026-05-26,Logistic Regression
